test_id,cluster_id,cluster_test_id
org.example.Test00000,1,cluster_1
org.example.Test00001,1,cluster_1
org.example.Test00002,9,cluster_9
org.example.Test00003,3,cluster_3
org.example.Test00004,0,cluster_0
org.example.Test00005,0,cluster_0
org.example.Test00006,1,cluster_1
org.example.Test00007,1,cluster_1
org.example.Test00008,1,cluster_1
org.example.Test00009,1,cluster_1
org.example.Test00010,1,cluster_1
org.example.Test00011,1,cluster_1
org.example.Test00012,0,cluster_0
org.example.Test00013,1,cluster_1
org.example.Test00014,1,cluster_1
org.example.Test00015,1,cluster_1
org.example.Test00016,0,cluster_0
org.example.Test00017,1,cluster_1
org.example.Test00018,1,cluster_1
org.example.Test00019,1,cluster_1
org.example.Test00020,1,cluster_1
org.example.Test00021,2,cluster_2
org.example.Test00022,1,cluster_1
org.example.Test00023,1,cluster_1
org.example.Test00024,4,cluster_4
org.example.Test00025,1,cluster_1
org.example.Test00026,1,cluster_1
org.example.Test00027,5,cluster_5
org.example.Test00028,1,cluster_1
org.example.Test00029,9,cluster_9
org.example.Test00030,8,cluster_8
org.example.Test00031,9,cluster_9
org.example.Test00032,1,cluster_1
org.example.Test00033,2,cluster_2
org.example.Test00034,1,cluster_1
org.example.Test00035,2,cluster_2
org.example.Test00036,9,cluster_9
org.example.Test00037,9,cluster_9
org.example.Test00038,1,cluster_1
org.example.Test00039,1,cluster_1
org.example.Test00040,4,cluster_4
org.example.Test00041,2,cluster_2
org.example.Test00042,1,cluster_1
org.example.Test00043,1,cluster_1
org.example.Test00044,8,cluster_8
org.example.Test00045,1,cluster_1
org.example.Test00046,1,cluster_1
org.example.Test00047,0,cluster_0
org.example.Test00048,1,cluster_1
org.example.Test00049,0,cluster_0
org.example.Test00050,9,cluster_9
org.example.Test00051,9,cluster_9
org.example.Test00052,1,cluster_1
org.example.Test00053,1,cluster_1
org.example.Test00054,1,cluster_1
org.example.Test00055,9,cluster_9
org.example.Test00056,2,cluster_2
org.example.Test00057,5,cluster_5
org.example.Test00058,9,cluster_9
org.example.Test00059,1,cluster_1
org.example.Test00060,1,cluster_1
org.example.Test00061,1,cluster_1
org.example.Test00062,9,cluster_9
org.example.Test00063,1,cluster_1
org.example.Test00064,1,cluster_1
org.example.Test00065,1,cluster_1
org.example.Test00066,9,cluster_9
org.example.Test00067,0,cluster_0
org.example.Test00068,1,cluster_1
org.example.Test00069,1,cluster_1
org.example.Test00070,2,cluster_2
org.example.Test00071,1,cluster_1
org.example.Test00072,1,cluster_1
org.example.Test00073,1,cluster_1
org.example.Test00074,1,cluster_1
org.example.Test00075,2,cluster_2
org.example.Test00076,4,cluster_4
org.example.Test00077,1,cluster_1
org.example.Test00078,1,cluster_1
org.example.Test00079,5,cluster_5
org.example.Test00080,7,cluster_7
org.example.Test00081,1,cluster_1
org.example.Test00082,1,cluster_1
org.example.Test00083,8,cluster_8
org.example.Test00084,3,cluster_3
org.example.Test00085,9,cluster_9
